ID,EmployeeID,Timesheet Record Date,Topic,Working Hours,Category,Sub-Category,Detail
5018,6,5/16/2022,ATK Sigorta Denetimi RKM ilgili alanları doldurma,4.5,İdari,Diğer,ATK Sigorta Denetimi RKM ilgili alanları doldurma
9581,12,10/7/2022,swot çalışması,8.5,İdari,Diğer,swot çalışması
8831,29,9/26/2022,Doğal Gaz Hukuk Süreçlerinin İncelenmesi,8.5,İnceleme,Merkez'den Denetim,İcraya verilen abonelere karşılık ayrıldığının kontrolü
9557,8,10/24/2022,Departman Bazlı Personel Devir Oranları ve Analizleri,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,mola
13687,2,5/15/2023,mola+dinlenme,0.5,Diğer,Diğer Kişisel İşler,mola+dinlenme
9745,12,10/27/2022,Elektrik grubu sektör toplantısına katınıldı,8.5,İdari,Toplantı,Elektrik grubu sektör toplantısına katınıldı
15114,9,8/10/2023,Doğalgaz Yatırımları İhale Süreçleri,6.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,Denetim raporu bulgularına ait çalışma kağıtlarının hazırlanması + mola
451,5,1/13/2022,Elazığ ilçe yöneticisi Ferhat Bulut hakkındaki iddialar,4,İnceleme,Merkez'den Denetim,Elazığ ilçe yöneticisi Ferhat Bulut hakkında gelen araç ve usulsüz işlem ihbarları incelenmiş gerekli çalışmalar yapılmıştır.
13083,11,4/7/2023,Stok Yönetimi ve Hurda Süreci Denetimi,7.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Stok prosedüründe gerçekleştirilen farklar incelenmiştir, prosedüre uyuşmazlıklar çıkarılmaya çalışılmıştır."
911,9,1/26/2022,Enerji Sektörü Denetimi,4,Ön Hazırlık,Doküman Tarama,Enerji denetimiyle ilgili genel çalışma
12557,6,3/20/2023,Sağlık Raporu,8.5,İdari,Diğer,Sağlık Raporu
8930,1,9/28/2022,Departman Bazlı Personel Devir Oranları ve Analizleri,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Diğer (Sigara, wc, gazete okuma, vb.)"
10078,7,11/14/2022,Turquality Destek Programları Denetimi,3,İnceleme,Toplantı (Şirket Yöneticileri),Umut Sargın ile toplantı
9293,21,10/12/2022,Telefon ve mailleşme,1,Diğer,Telefon&Mail Trafiği,Telefon ve mailleşme
12274,14,3/3/2023,Ali Metin Kazancı Antalya D.G.K.Ç Santrali Bakım Süreçleri Teknik Denetimi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,Ali Metin Kazancı Antalya D.G.K.Ç Santrali Bakım Süreçleri Teknik Denetimi
15308,15,8/8/2023,Bolu Göynük Santral Personel Servis Hakediş Süreçleri Denetimi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,bolu göynük raporunun hazırlanması ve disliplin kurul süreçlerinin yürütülmesi
14069,26,5/26/2023,Yurt Dışı Ofis Süreçleri Denetimi (SİNGAPUR),8.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,singapur yerinde denetim
1488,13,2/10/2022,,,,,
6529,16,7/1/2022,İdari&Diğer,8.5,İdari,Diğer,QAR kapsamında ÇK kontrolü
12195,6,2/20/2023,CRM ve ISU Yetkilendirme Süreci,8.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,CO ve TRM modüllerinin incelenmesi
5628,6,5/31/2022,Sektörlerin 2021 çalışma kağıtlarını inceleme,3,İdari,Diğer,Sektörlerin 2021 çalışma kağıtlarını inceleme
830,26,1/24/2022,Diğer,1,Diğer,Telefon&Mail Trafiği,Görüşme ve yazışma trafiği
7508,14,8/5/2022,Cookshop Şirket Denetimi,8.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,Cookshop Şirket Denetimi - Bulguların tespiti ve raporun oluşturulması + Sahada yerinde denetim -
1178,26,2/2/2022,Diğer,1,Diğer,Diğer Kişisel İşler,"Sigara, wc, gazete okuma, vb."
7512,6,8/8/2022,"Diğer (Sigara, wc, gazete okuma, vb.)",1,Diğer,Diğer Kişisel İşler,"Diğer (Sigara, wc, gazete okuma, vb.)"
14843,15,7/17/2023,Lojistik Operasyonları Süreci Denetimi,8.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"lojistik alım süreçleri ve tzd yönetmeliğinin eşgüdümlü incelenmesi, talimata uyumsuz süreçlerin taslak rapora aktarılması"
1252,3,2/3/2022,Elazığ Doğalgaz Dağıtım A.Ş. Uzaktan Denetimi,1,İnceleme,Merkez'den Denetim,Faturalandırma Süreci İnceleme
5752,1,6/3/2022,ACFE Eğitimi,8.5,İdari,Diğer,ACFE Eğitimi
2312,25,3/1/2022,Sağlık Raporu,8.5,Diğer,Diğer Kişisel İşler,Sağlık Raporu
9817,27,11/4/2022,Turquality Destek Programları Denetimi,0.5,Ön Hazırlık,Data Temini&Data Hazırlama,"Diğer (Sigara, wc, gazete okuma, vb.)"
3056,5,3/16/2022,"Diğer (Sigara, wc, gazete okuma, vb.)",0.5,Diğer,Ortak Alan Çalışması,"Diğer (Sigara, wc, gazete okuma, vb.)"
9803,29,11/2/2022,sağlık raporu,8.5,İdari,Diğer,sağlık raporu
11181,6,1/6/2023,"Diğer (Sigara, wc, gazete okuma, vb.)",1,İdari,Diğer,"Diğer (Sigara, wc, gazete okuma, vb.)"
10298,12,11/23/2022,EDAŞ-Planlı Bakım Denetimi,8.5,Ön Hazırlık,Risk Kontrol Matrisinin Hazırlanması,Denetim hazırlık çalışmaları incelendi
8938,21,9/28/2022,Sözleşmeli Alımlar Fatura Onay Mekanızması ve Ödeme Denetimi- Tüm Sektörle,4.5,Ön Hazırlık,Süreç Haritalandırma (Walkthrough),Fatura onay ve ödeme süreçleri haritalandırma
8750,8,9/22/2022,Garanti ve Müşteri Memnuniyeti Kapsamında Yapılan İade İşlemlerinin İncelenmesi,1,İnceleme,Toplantı (Ekip İçi),Rapor değerlendirme Risklerin belirlenmesi  (Ahmet Hayran) ile
10619,9,12/9/2022,Kıbrıs Santral teknik denetimi çk düzenleme (QAR süreci gereği),2,Diğer,Sektörel Analiz Çalışmalarının Yapılması,Kıbrıs Santral teknik denetimi çk düzenleme (QAR süreci gereği)
9451,1,8/31/2022,Garanti ve Müşteri Memnuniyeti Kapsamında Yapılan İade İşlemlerinin İncelenmesi,4,İnceleme,Merkez'den Denetim,Garanti süreçleri kapsamında gereken dokümanların incelenip düzenlenmesi
5819,30,6/7/2022,İdari,0.5,İdari,Diğer,Yönetim sunumu kapsamında Şule ile bulgu özetleri üzerinden geçilmesi
12997,9,4/6/2023,Kurumsal Yönetişim döküman inceleme + mola,8.5,İdari,Diğer,Kurumsal Yönetişim döküman inceleme + mola
9681,8,10/27/2022,Garanti ve Müşteri Memnuniyeti Kapsamında Yapılan İade İşlemlerinin İncelenmesi,1,İnceleme,Toplantı (Şirket Yöneticileri),Sevinç Arabacı ve Emrah Tatarka ile bulgu mutabakatlarına ilişkin toplantı yapılması
1769,21,2/15/2022,Kesme Bağlama İşlemleri (kesilmesi yasak olan aboneler),1,inceleme,Çalışma Kağıtlarının Hazırlanması,Telefon&Mail Trafiği
13208,14,4/18/2023,BAYRAM HAFTASI TATİLİ,8.5,İdari,Diğer,BAYRAM HAFTASI TATİLİ
449,5,1/13/2022,Elektrik ekibi ile değerlendirme toplantısı,1,İdari,Toplantı,Elektrik ekibi ile değerlendirme toplantısı
2951,30,3/14/2022,Yıllık İzin,8.5,Diğer,Diğer Kişisel İşler,Yıllık İzin
2866,9,3/11/2022,ENERJİ SEKTÖR TEKNİK DENETİM-ANTALYA SANTRAL,1.5,Ön Hazırlık,Doküman Tarama,Antalya Enerji Santrali doküman inceleme
1394,12,2/7/2022,İhale Usulü Yapılan Satın Alma İşlemlerinin İncelenmesi,2,İnceleme,Toplantı (Ekip İçi),Denetim çalışmaları görüşüldü
4944,8,5/12/2022,Aksa Satış ve Pazarlama A.Ş. Antalya Şubesi Olağan Denetim - Tam Kapsam,8.5,İnceleme,Sahada Denetim,ik süreçleri
7375,1,8/4/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Diğer (Sigara, wc, gazete okuma, vb.)"
6764,8,7/8/2022,Kurban Bayramı Tatili,8.5,Diğer,Diğer Kişisel İşler,Kurban Bayramı Tatili
5153,25,5/19/2022,İdari&Diğer,8.5,İdari,Diğer,İzin
7733,6,8/16/2022,"Telefon-mail trafiği, yayınlanan raporların DPA'larının takibi",2,İdari,Diğer,"Telefon-mail trafiği, yayınlanan raporların DPA'larının takibi"
5297,8,5/6/2022,Ramazan Bayramı Tatili,8.5,Diğer,Diğer Kişisel İşler,Ramazan Bayramı Tatili
13664,22,5/11/2023,Holding Teknik Satınalma Denetimi,8.5,İnceleme,Toplantı (Ekip İçi),ENERJİ TEKNİK SATINALIM SÜREÇLERİ İNCELENMEKTEDİR
12378,25,3/6/2022,İdari&Diğer,8.5,İdari,Diğer,IEC Dosya Kontrol
10550,3,12/6/2022,Doğal Gaz Hukuk Süreçlerinin İncelenmesi,3.5,İnceleme,Toplantı (Şirket Yöneticileri),Müşteri hizmetleri ve mali işlerle yapılan görüşme
3539,2,3/25/2022,mola wc vb.,0.5,Diğer,Diğer Kişisel İşler,mola wc vb.
5190,26,5/5/2022,Bayram Tatili,8.5,İdari,Diğer,Bayram Tatili
14818,6,7/17/2023,Güvence Bedeli Alım ve İade Süreci Denetimi,8.5,İnceleme,Merkez'den Denetim,Teminat mektubu alım süreçlerinin incelenmesi
6398,5,6/24/2022,EDAŞ Şirketleri Yüklenici Depoları Malzeme Yönetimi,2,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Çalışma kağıtları hazırlanmış, teminat mektupları fiziki olarak görülmüştür."
3582,16,3/28/2022,ISG Koordinasyon Süreci sunumu için Kurumsal mimari ile çalışma,3,İdari,Toplantı,ISG Koordinasyon Süreci sunumu için Kurumsal mimari ile çalışma
3907,15,4/4/2022,Enerji - Lojistik ve Gümrük Müdürlüğü İddialar,1,İnceleme,Çalışma Kağıtlarının Hazırlanması,mola
7080,1,7/25/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Diğer (Sigara, wc, gazete okuma, vb.)"
4466,21,4/19/2022,EPSAŞ - Kalite Tazminat Ödemeleri,0.5,İnceleme,Çalışma Kağıtlarının Kontrolü,diğer kişisel ihtiyaçlar
4891,13,5/11/2022,Mesleki yeterlilik belgelerinin incelenmesi,8.5,İnceleme,Merkez'den Denetim,Mesleki Yeterlilik Belgelerinin İncelenmesi
2070,1,2/23/2022,Tahsilat Denetimi (Jeneratör),0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Diğer (Sigara, wc, gazete okuma, vb.)"
13174,8,4/7/2023,2. El Satış ve Kiralama Süreci,1.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,Ramazan ayı nedeniyle
10017,26,11/9/2022,IEC çalışmaları,1.5,İdari,Diğer,IEC çalışmaları
1801,25,2/16/2022,Mola,1,Diğer,Diğer Kişisel İşler,Mola
7702,9,8/18/2022,Özbekistan Santral Denetimi,8.5,İnceleme,Toplantı (Şirket Yöneticileri),Özbekistan Taşkent Enerji Santrali saha denetimi
5597,12,5/27/2022,"THY Mevzuatı, EPSAŞ-EDAŞ Hukuki Ayrışması ve EPSAŞ Ana İş Kolu Dışındaki Faaliyetlerinin İncelenmesi (Rekabet Kanunu)",2.5,Rapor Yazımı,Taslak Rapor Değerlendirme,Rapor kontrol edildi
4788,12,4/28/2022,Tarım Sektörü Hayvan Alımlarının İncelenmesi,3,İnceleme,Toplantı (Şirket Yöneticileri),Enver bey ile alınan çalışmalar üzerinden görüşüldü ve çalışmalar analiz edildi
4215,5,4/12/2022,2021 Ç.K.ları hazırlanmıştır.,8,İdari,Diğer,2021 Ç.K.ları hazırlanmıştır.
10549,3,12/6/2022,Doğal Gaz Hukuk Süreçlerinin İncelenmesi,5,İnceleme,Çalışma Kağıtlarının Hazırlanması,Çalışma kağıtlarının hazırlanması
12346,21,3/3/2023,telefon ve mail trafiği,1,Diğer,Telefon&Mail Trafiği,telefon ve mail trafiği
8325,3,9/6/2022,Kaçak Gaz Kullanımı İncelemesi-Adana/Mersin,1.5,Rapor Yazımı,Nihai Raporun Oluşturulması,Gelen cevapların incelenmesi
12458,22,2/20/2023,Ali Metin Kazancı Antalya D.G.K.Ç Santrali Bakım Süreçleri Teknik Denetimi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,Ofiste Bulgular konuşuldu ve taslak oluşturulmaya başlandı
9751,26,10/31/2022,Özbekistan Santral Denetimi,2,Rapor Yazımı,Nihai Raporun Oluşturulması,Son düzeltmeler
9253,26,10/12/2022,SWOT Çalışması,8.5,İdari,Diğer,Sunum çalışmaları
1942,25,2/21/2022,Telefon&Mail Trafiği,1,Diğer,Telefon&Mail Trafiği,Telefon&Mail Trafiği
993,29,1/28/2022,Elazığ Doğalgaz Dağıtım A.Ş. Uzaktan Denetimi,1,İnceleme,Merkez'den Denetim,Personel Eğitim ve Oryantasyon Süreci
7657,8,8/15/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,mola
621,14,1/18/2022, Diğer-Telefon&Mail Trafiği,1,Diğer,Telefon&Mail Trafiği, Diğer-Telefon&Mail Trafiği
4332,14,4/15/2022,Doğalgaz Yatırımları Sözleşme Süre Uzatımları Denetimi,4,Ön Hazırlık,Doküman Tarama,AKSA Doğalgaz Süre Uzatım Denetimi Evrak İnceleme (Mola Dahil)
11692,8,1/27/2023,Stok ve Güvenlik Süreçleri,8.5,İnceleme,Sahada Denetim,Ankara APC Stok Sayımı
6744,12,7/6/2022,EDAŞ Şirketleri Yüklenici Depoları Malzeme Yönetimi,6.5,Rapor Yazımı,Nihai Raporun Oluşturulması,Nihai rapor oluşturuldu
10061,11,11/14/2022,Ödemeler Süreç Denetim-Tüm Sektörler,1,Rapor Yazımı,Taslak Rapor Yazımı,Mola
5384,29,5/24/2022,Ek Güvence Bedeli İncelemesi,4.5,Ön Hazırlık,Data Temini&Data Hazırlama,abys data temini
14832,2,7/5/2023,dinlenme mola,0.5,Diğer,Diğer Kişisel İşler,dinlenme mola
13464,29,4/27/2023,Gider Denetimi,8.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,Gider denetimi kapsamında masrafların incelenmesi
4050,2,4/7/2022,Kesme Bağlama İşlemleri (kesilmesi yasak olan aboneler),4,İnceleme,Çalışma Kağıtlarının Kontrolü,çk ların kontrolü-qar süreci
8646,9,9/19/2022,Özbekistan Santral Denetimi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,Aksa Özbekistan Taşkent ve Buhara Santralleri rapor yazımı + Mola
14635,4,7/6/2023,EDAŞ Trabzon Sürmene ve Köprübaşı İlçe Şeflikleri Çalışanları Hakkındaki İddialar,8.5,İnceleme,Toplantı (Şirket Yöneticileri),EDAŞ Trabzon Sürmene ve Köprübaşı İlçe Şeflikleri Çalışanları Hakkındaki İddialar kapsamında şehir dışı ziyaret ve saha denetimi.
4132,30,4/11/2022,İdari,4,İdari,Diğer,Eski bulgulara ilişkin alt süreç ve ana süreçlerin belirlenmesi
6748,12,7/7/2022,EDAŞ Şirketleri Yüklenici Depoları Malzeme Yönetimi,1.5,Rapor Yazımı,Nihai Raporun Oluşturulması,Rapor finalize edildi
1575,30,2/9/2022,Faturalandırma Denetimi (Jeneratör),1,Diğer,Telefon&Mail Trafiği,Telefon&Mail Trafiği
7063,12,7/20/2022,Elazığ Araç Arıza Masrafı İle İlgili İddialar,2,İnceleme,Toplantı (Ekip İçi),Son tespitler üzerinden görüşüldü
10484,2,11/28/2022,EDAŞ-Planlı Bakım Denetimi,8.5,İnceleme,Sahada Denetim,fırat bölge saha incelemeleri
1507,6,2/10/2022,İnsan Kaynakları Denetimi RKM'de eksik yerlerin doldurulması,6,İdari,Diğer,İnsan Kaynakları Denetimi RKM'de eksik yerlerin doldurulması
3623,21,3/28/2022,"THY Mevzuatı, EPSAŞ-EDAŞ Hukuki Ayrışması ve EPSAŞ Ana İş Kolu Dışındaki Faaliyetlerinin İncelenmesi (Rekabet Kanunu)",1.5,İnceleme,Merkez'den Denetim,Bölünme sözleşmelerinin İncelenmesi
6248,30,6/22/2022,Aksa Satış ve Pazarlama A.Ş. Adana Şubesi Olağan Denetim - Tam Kapsam,0.5,Rapor Yazımı,Nihai Raporun Oluşturulması,Mutabakatın tamamlanmasına istinaden rapor eklemelerinin kontrol edilmesi ve değerlendirilmesi
14297,3,6/14/2023,Gaz Açma ve Kapama Operasyonları Denetimi,8.5,İnceleme,Çalışma Kağıtlarının Kontrolü,Çalışma kağıtlarının kontrolü
12784,26,3/21/2023,Stok Yönetimi ve Hurda Süreci Denetimi,8.5,Ön Hazırlık,Süreç Haritalandırma (Walkthrough),süreçle ilgili toplantılar yapılması ve dokümanların taranması
1696,21,2/14/2022,Kesme Bağlama İşlemleri (kesilmesi yasak olan aboneler),0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,
4002,15,4/6/2022,Enerji - Lojistik ve Gümrük Müdürlüğü İddialar,1,Rapor Yazımı,Taslak Rapor Değerlendirme,Gözen hanım'a raporun son düzeltmelerinin sunumu
14129,29,5/23/2023,Yıllık izin,8.5,İdari,Diğer,Yıllık izin
12511,15,3/13/2023,Hukuk Operasyonları Süreci Denetimi,8.5,Rapor Yazımı,Taslak Rapor Değerlendirme,taslak rapora ilişkin son düzenlemelerin yapılması
8334,5,9/7/2022,Cookshop Şirket Denetimi,4.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,Çalışma kağıtlarının hazırlanması
11930,26,2/13/2023,Hukuk Operasyonları Süreci Denetimi,4,İnceleme,Toplantı (Ekip İçi),Denetimle ilgili ekip içi toplantı ve diğer görüşmeler
4532,12,4/18/2022,EDAŞ - Elazığ Taşınan Sayaçların İncelenmesi,1.5,Rapor Yazımı,Taslak Rapor Mutabakat Süreci,Rapor son haline bakıldı
5537,30,5/17/2022,Yıllık İzin,8.5,Diğer,Diğer Kişisel İşler,Yıllık İzin
9886,8,8/26/2022,Garanti ve Müşteri Memnuniyeti Kapsamında Yapılan İade İşlemlerinin İncelenmesi,5,İnceleme,Merkez'den Denetim,Bölgeden gelen verilerin incelenmesi
10693,25,12/14/2022,İdari&Diğer,8.5,İdari,Diğer,KPMG Görüşme&QAR Dosyalarının Hazırlanması&Kurumsal Yönetişim Projesi
3304,25,3/22/2022,İdari İşler Süreç Denetimi,3,İnceleme,Çalışma Kağıtlarının Kontrolü,Çalışma Kağıtlarının Kontrolü
10513,26,12/5/2022,kurumsallaşma çalışmaları,8.5,İdari,Diğer,kurumsallaşma çalışmaları  / global trendler
4032,13,4/6/2022,Holding Girişleri İle İlgili İletilen İddiaların İncelenmesi,8.5,İnceleme,Merkez'den Denetim,Etik Hat Üzerinden İletilen İddiaların İncelenmesi
1321,25,2/4/2022,Diğer-Telefon&Mail Trafiği,1,Diğer,Telefon&Mail Trafiği,Diğer-Telefon&Mail Trafiği
4015,30,4/6/2022,Çerkezköy Fabrika Stok Sayımı ve Sayım Sonuçlarının Değerlendirilmesi,3,İnceleme,Çalışma Kağıtlarının Hazırlanması,Sayım çalışmalarına ilişkin çalışma kağıtlarının düzenlenmesi
5240,13,5/23/2022,Mesleki yeterlilik belgelerinin incelenmesi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,Mesleki Yeterlilik Belgelerinin İncelenmesi
9792,25,11/3/2022,İdari&Diğer,3,İdari,Diğer,2022 Ekim Ayı Denetim Direktörlüğü Gelir Bütçesinin Hazırlanması
998,3,1/28/2022,Siirt-Batman Doğalgaz Dağıtım A.Ş. Uzaktan Denetimi,1,İnceleme,Merkez'den Denetim,Faturalandırma Süreci İnceleme
9503,8,10/21/2022,Departman Bazlı Personel Devir Oranları ve Analizleri,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,mola
1112,13,1/24/2022,Siirt-Batman Doğalgaz Dağıtım A.Ş. Uzaktan Denetimi,1,İnceleme,Çalışma Kağıtlarının Hazırlanması,Borçtan Gaz Kesme Süreci
9106,9,10/5/2022,Aksa Ordu Giresun Doğalgaz Dağıtım A.Ş saha denetimi / Giresun,8.5,Diğer,Sektörel Analiz Çalışmalarının Yapılması,Aksa Ordu Giresun Doğalgaz Dağıtım A.Ş saha denetimi / Giresun
8470,8,9/14/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,5.5,İnceleme,Merkez'den Denetim,Satınalma ve Ödeme Süreçleri
488,29,1/10/2022,Sağlık Raporu,9,İdari,Diğer,Sağlık Raporu
13399,18,4/28/2023,Bağlantı Operasyon Süreçleri Denetimi,8.5,Ön Hazırlık,Risk Kontrol Matrisinin Hazırlanması,RKM lerin düzenlenmesi
2552,14,3/4/2022,Timesheet girişi,0.5,Diğer,Ortak Alan Çalışması,Timesheet girişi
1275,30,2/3/2022,Satışlardan Yapılan İndirimler ve Maliyet Altı Satışlar,2,İnceleme,Toplantı (Ekip İçi),Gelen yanıtların incelenmesi ve değerlendirilmesi
617,14,1/18/2022,Olağanüstü Durumlarda Şirketin Karşı Karşıya Kalabileceği Riskler,3,Diğer,Sektörel Analiz Çalışmalarının Yapılması,Olağanüstü Durumlarda Şirketin Karşı Karşıya Kalabileceği Riskler
3254,2,3/21/2022,atk sigorta denetimi,1,Diğer,Sektörel Analiz Çalışmalarının Yapılması,atk sigorta denetimi için içerik hazırlanması
3804,15,3/31/2022,Enerji - Lojistik ve Gümrük Müdürlüğü İddialar,1,İnceleme,Toplantı (Şirket Yöneticileri),Sezen İnci ve Meral Tunalı ile denetim notları üzerine toplantı
4696,26,4/27/2022,İhale Usulü Yapılan Satın Alma İşlemlerinin İncelenmesi,7.5,Rapor Yazımı,Taslak Rapor Yazımı,Taslak rapor yazım çalışması
15319,15,8/16/2023,Stok Yönetimi ve Hurda Süreci Denetimi,8.5,Rapor Yazımı,Nihai Raporun Oluşturulması,stok raporuna ilişkin üst yönetimin talepleri doğrultusunda finansal etki hesaplamalarının yapılarak rapora eklenmesi
14665,12,6/28/2023,Kurban Bayramı Tatili,8.5,İdari,Diğer,Kurban Bayramı Tatili
1248,9,2/3/2022,"Diğer-Diğer (Sigara, wc, gazete okuma, vb.)",1,Diğer,Diğer Kişisel İşler,"Diğer-Diğer (Sigara, wc, gazete okuma, vb.)"
14699,3,7/12/2023,SAP Satınalma Modulü Sistem Denetimi,2,Ön Hazırlık,Toplantı (Şirket Yöneticileri),Verilerin yorumlanması noktasında toplantı
6850,13,7/5/2022,Yıllık İzin Kullanımı,8.5,İdari,Diğer,Yıllık İzin Kullanımı
11067,9,12/30/2022,AKSA Plaza İSG Denetimi 2022,8.5,Rapor Yazımı,Taslak Rapor Yazımı,İSG denetim raporu hazırlama + mola
818,14,1/24/2022,ERKEN CIKIŞ,2,İdari,Diğer,IK tarafından 16.30'da çıkış verildi
10991,21,12/26/2022,Telefon ve mail trafiği,1,Diğer,Telefon&Mail Trafiği,Telefon ve mail trafiği
3158,26,3/18/2022,Enerji - Lojistik ve Gümrük Müdürlüğü İddialar,1.5,İnceleme,Toplantı (Şirket Yöneticileri),Sezen Hanım ve Meral hanım ile toplantı
11444,9,1/20/2023,AKSA Plaza İSG Denetimi 2022,8.5,Rapor Yazımı,Nihai Raporun Oluşturulması,Denetim raporu ve rkm nihai hale getirme + mola
10182,13,11/11/2022,Doğal Gaz Hukuk Süreçlerinin İncelenmesi,8.5,İnceleme,Merkez'den Denetim,İcradan Tahsilat Süreçlerinin İncelenmesi
8241,15,9/5/2022,SAP MM Modülünden İlerlemeyen Satın Alma İşlemleri Denetimi,1.5,Rapor Yazımı,Taslak Rapor Mutabakat Süreci,yönetici görüş kısımları rapor üzerinde düzenlendi. Özbekistan satın alma sürecine ilişkin gelen yanıtlar kontrol edildi
1442,26,2/8/2022,İhale Usulü Yapılan Satın Alma İşlemlerinin İncelenmesi,2,Ön Hazırlık,Toplantı (Şirket Yöneticileri),Fatma hanım ve Ozan bey ile ayrı ayrı toplantılar
6169,1,6/21/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,1,Ön Hazırlık,Toplantı (Şirket Yöneticileri),Risk Departmanından Ferdi Sert Bey ile denetime ilişkin risklerin belirlenmesi
12321,15,3/9/2023,Hukuk Operasyonları Süreci Denetimi,8.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,avukatlık ücretlerinin hesaplanması karşı vekalet süreçleri
1049,25,1/28/2022,QAR,4,Proje,QAR,QAR
15434,6,8/16/2023,Doğalgaz Sektörü Kredi Kartı Tahsilatlarının İncelenmesi,8.5,İnceleme,Merkez'den Denetim,Bölgelerin kredi kartı slip ve sözleşmeleri inceleme
12171,9,2/28/2023,Naci Bey'e yapılacak sunum için bulgu tablo çalışması,4,Diğer,Sektörel Analiz Çalışmalarının Yapılması,Naci Bey'e yapılacak sunum için bulgu tablo çalışması
823,21,1/24/2022,Disiplin kurulu toplantısı,2,İdari,Toplantı,Disiplin kurulu toplantısı
11694,8,1/31/2023,Stok ve Güvenlik Süreçleri,8.5,İnceleme,Sahada Denetim,İzmir APC Stok Sayımı
5698,5,6/1/2022,"Diğer (Sigara, wc, gazete okuma, vb.)",0.5,Diğer,Diğer Kişisel İşler,"Diğer (Sigara, wc, gazete okuma, vb.)"
11377,1,1/6/2023,Kayseri APC İddiaların İncelenmesi ve Stok Farklarının Araştırılması,4,İnceleme,Toplantı (Ekip İçi),Emre Eğin ile denetime ilişkin genel değerlendirmeler ve sürecin devamı için çalışmalar yapıldı. Farkların araştırılması yapıldı.
15163,25,8/14/2023,İnsan Kaynakları ve Kültür Denetimi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,Rapor Düzenleme
12563,27,3/20/2023,Gider Denetimi Hazırlık Çalışmaları,8.5,Diğer,Sektörel Analiz Çalışmalarının Yapılması,Gider Denetimi Hazırlık Çalışmaları
15240,8,8/16/2023,İnsan Kaynakları ve Kültür Denetimi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,Rapor Yazımı
6994,13,7/21/2022,Suistimal Eğitimi,8.5,İdari,Diğer,Suistimal Eğitimi
6990,13,7/18/2022,İş Avanslarının Kullanımı  ve Yerel Satın Almaların İncelenmesi,8.5,İnceleme,Çalışma Kağıtlarının Kontrolü,Çalışma Kağıtlarının Kontrolü
11871,3,2/8/2023,CRM ve ISU Yetkilendirme Süreci,2,İnceleme,Toplantı (Şirket Yöneticileri),Abdullah Bey ile toplantı
14715,4,6/19/2023,Yüksek Lisans nedeniyle yönetici bilgisi dahlinde 1 saat erken çıkış.,1,Diğer,Diğer Kişisel İşler,Yüksek Lisans nedeniyle yönetici bilgisi dahlinde 1 saat erken çıkış.
4110,26,4/8/2022,Bolu Göynük Termik Santrali - Santral Müdür Yardımcısı Hakkında İddialar,8,İnceleme,Toplantı (Ekip İçi),Soruşturma kapsamında inceleme çalışmaları
9630,15,10/26/2022,Ödemeler Süreç Denetim-Tüm Sektörler,1,Ön Hazırlık,Toplantı (Ekip İçi),ekip içi toplantı
14283,15,6/16/2023,Stok Yönetimi ve Hurda Süreci Denetimi,1,İnceleme,Çalışma Kağıtlarının Hazırlanması,mola
691,21,1/19/2022,Diğer-Telefon&Mail Trafiği,1,Diğer,Telefon&Mail Trafiği,Diğer-Telefon&Mail Trafiği
5562,16,5/30/2022,İdari İşler Süreç Denetimi,3,Rapor Yazımı,Nihai Raporun Oluşturulması,Rapordaki tekrar kontrol edilmesi gereken maddelerin sorgulanması
