Finding_ID,Finding Creation Date,Finding Status,Risk Type,Risk Severity,Probabilty,Effect,Audit Report Number
2022_066_006.002,3/8/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,3,2022_066
2022_053_001.002,12/27/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,4,3,2022_053
2023_020_002.010,7/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2023_020
2021_037_010.004,12/3/2021,Süreç Sahibi Yöneticisinin Onayında Bekliyor,Finansal Risk,Orta,3,2,2021_037
2022_063_004.005,3/9/2023,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2022_063
2022_003_009.003,4/18/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_003
2022_065_008.001,1/29/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,2,4,2022_065
2021_036_012.001,11/26/2021,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Orta,2,3,2021_036
2021_043_002.001,1/3/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Stratejik Risk",Yüksek,3,3,2021_043
2023_017_002.005,7/28/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2023_017
2022_055_013.003,11/25/2022,Tamamlandı,Finansal Risk,Yüksek,3,3,2022_055
2023_007_001.019,5/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,2,4,2023_007
2023_006_003.002,7/6/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2023_006
2023_020_002.001,7/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2023_020
2021_058_002.001,1/26/2022,Tamamlandı,Operasyonel Risk - Personel Kaynaklı Risk,Yüksek,4,2,2021_058
2022_023_001.001,8/3/2022,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Orta,1,3,2022_023
2022_055_021.004,11/25/2022,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Personel Kaynaklı Risk,Orta,2,3,2022_055
2022_006_001.005,4/14/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_006
2021_032_002.004,10/20/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2021_032
2022_055_016.001,11/28/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Dışsal Risk",Orta,3,2,2022_055
2023_002_002.006,5/8/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,4,2023_002
2022_006_002.002,4/14/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_006
2022_063_006.006,3/9/2023,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2022_063
2023_007_001.021,5/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,2,4,2023_007
2023_022_006.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Kritik,4,4,2023_022
2023_018_002.001,7/25/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2023_018
2021_034_007.001,8/31/2021,Süreç Sahibi Yöneticisinin Onayında Bekliyor,Operasyonel Risk - Personel Kaynaklı Risk,Düşük,3,1,2021_034
2021_003_003.002,3/15/2021,Tamamlandı,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2021_003
2021_055_003.001,1/4/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,3,2,2021_055
2021_019_001.001,6/3/2021,Tamamlandı,"Finansal Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,2,1,2021_019
2021_004_007.001,3/15/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk",Orta,2,2,2021_004
2023_005_001.007,5/19/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Dışsal Risk",Kritik,4,4,2023_005
2023_007_001.008,5/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,2,4,2023_007
2021_016_001.003,6/7/2021,Tamamlandı,"Finansal Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2021_016
2022_033_008.001,6/26/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,2,1,2022_033
2022_034_008.003,8/8/2022,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2022_034
2022_010_020.002,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,1,1,2022_010
2021_004_004.004,3/15/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,3,2021_004
2021_004_015.001,3/15/2021,Tamamlandı,Finansal Risk,Düşük,1,1,2021_004
2022_010_013.002,4/21/2022,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2022_010
2022_066_002.001,3/8/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_066
2022_037_001.002,8/3/2022,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Yüksek,3,4,2022_037
2023_013_002.003,5/7/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,3,2,2023_013
2022_019_002.001,6/21/2022,Tamamlandı,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Düşük,2,1,2022_019
2022_051_008.002,11/28/2022,Süreç Sahibine Atanan Bulgu,Finansal Risk,Orta,2,2,2022_051
2022_051_003.002,11/28/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_051
2023_018_002.004,7/25/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2023_018
2022_052_005.002,12/19/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,3,2022_052
2023_025_002.007,8/4/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2023_025
2022_040_001.002,11/2/2022,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Kritik,4,4,2022_040
2022_009_024.002,4/18/2022,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,1,2022_009
2021_007_008.002,4/24/2021,Tamamlandı,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,1,3,2021_007
2021_015_003.005,6/3/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,3,2,2021_015
2022_062_001.002,2/1/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2022_062
2022_034_008.001,8/8/2022,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2022_034
2021_036_016.001,10/4/2021,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,1,4,2021_036
2022_046_003.001,1/4/2023,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_046
2021_054_003.003,3/17/2022,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2021_054
2023_016_001.003,7/20/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,4,2,2023_016
2021_003_007.001,3/15/2021,Tamamlandı,Uyum Riski - Yasal Regulasyonlara Uyum Riski,Düşük,1,2,2021_003
2021_054_008.003,3/15/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2021_054
2022_010_008.002,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,2,2022_010
2022_009_022.001,4/18/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Düşük,2,1,2022_009
2021_033_002.001,8/31/2021,Denetim Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2021_033
2021_003_019.001,3/15/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Düşük,1,1,2021_003
2022_006_002.003,4/14/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_006
2022_014_018.002,4/21/2022,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2022_014
2022_040_002.002,11/2/2022,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Yüksek,3,3,2022_040
2021_016_003.001,6/7/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,2,1,2021_016
2022_055_009.001,11/28/2022,Tamamlandı,Finansal Risk,Yüksek,4,3,2022_055
2023_003_002.003,4/4/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,3,2023_003
2022_063_003.001,3/9/2023,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,3,2,2022_063
2021_003_014.001,3/15/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,2,1,2021_003
2022_009_006.003,4/15/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,2,2,2022_009
2022_014_005.002,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_014
2022_003_002.001,4/18/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,2,2022_003
2022_029_003.001,6/24/2022,Tamamlandı,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2022_029
2022_010_005.002,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_010
2022_010_006.001,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_010
2021_004_013.001,3/15/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Düşük,1,1,2021_004
2021_058_010.001,1/27/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2021_058
2022_017_003.002,8/10/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2022_017
2023_008_002.001,4/11/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2023_008
2022_055_017.002,11/28/2022,Tamamlandı,Finansal Risk,Orta,3,2,2022_055
2022_003_020.002,4/18/2022,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2022_003
2022_052_002.002,12/19/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Yüksek,3,3,2022_052
2023_002_003.002,5/8/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2023_002
2022_004_012.001,3/18/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2022_004
2022_063_003.018,3/9/2023,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,3,2,2022_063
2021_020_003.002,7/8/2021,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Orta,2,2,2021_020
2021_040_001.001,11/17/2021,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2021_040
2022_052_008.001,12/19/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Dışsal Risk,Uyum Riski - Prosedürlere Uyum Risk",Düşük,1,2,2022_052
2023_022_010.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Orta,3,2,2023_022
2023_003_001.005,4/4/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Yüksek,3,4,2023_003
2021_035_003.001,11/10/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2021_035
2023_007_001.013,5/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,2,4,2023_007
2023_008_001.010,4/11/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,4,2023_008
2021_037_010.008,12/3/2021,Süreç Sahibi Yöneticisinin Onayında Bekliyor,Finansal Risk,Orta,3,2,2021_037
2022_016_009.001,6/23/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,1,2022_016
2022_003_018.001,4/18/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Düşük,1,2,2022_003
2021_040_001.004,11/17/2021,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2021_040
2023_022_002.001,7/3/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Yüksek,3,3,2023_022
2021_003_005.002,3/15/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2021_003
2021_027_002.001,9/13/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,1,3,2021_027
2022_052_003.001,12/19/2022,Süreç Sahibine Atanan Bulgu,Finansal Risk,Yüksek,3,3,2022_052
2021_017_007.001,5/5/2021,Tamamlandı,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2021_017
2021_054_002.001,3/15/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,4,3,2021_054
2022_004_007.001,3/18/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,3,2,2022_004
2021_020_003.001,7/8/2021,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Orta,2,2,2021_020
2022_046_004.001,1/4/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Yüksek,2,4,2022_046
2022_017_003.001,8/10/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2022_017
2021_033_009.001,8/31/2021,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2021_033
2022_010_007.001,4/21/2022,Tamamlandı,Finansal Risk,Orta,3,2,2022_010
2022_051_002.001,11/28/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,4,2,2022_051
2022_029_002.002,6/24/2022,Tamamlandı,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_029
2022_017_004.003,8/10/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,2,1,2022_017
2021_028_005.002,9/17/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Düşük,1,1,2021_028
2022_009_003.001,4/15/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,1,3,2022_009
2022_032_008.001,6/24/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Düşük,1,1,2022_032
2022_007_006.001,4/19/2022,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Düşük,1,2,2022_007
2023_025_003.004,8/4/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2023_025
2022_066_004.002,3/8/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Uyum Riski - Prosedürlere Uyum Risk",Yüksek,3,3,2022_066
2022_063_002.008,3/20/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2022_063
2022_056_004.001,11/22/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2022_056
2022_010_011.001,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_010
2022_009_013.003,4/15/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,1,2022_009
2021_002_007.001,3/29/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,2,1,2021_002
2021_037_007.001,12/3/2021,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Orta,3,2,2021_037
2022_063_001.011,3/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2022_063
2022_063_004.009,3/9/2023,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2022_063
2022_017_002.002,8/10/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk",Orta,3,2,2022_017
2021_008_011.002,3/17/2021,Tamamlandı,"Finansal Risk,Uyum Riski - Prosedürlere Uyum Risk",Düşük,1,1,2021_008
2022_003_005.001,4/18/2022,Tamamlandı,Finansal Risk,Orta,1,3,2022_003
2021_022_001.002,7/6/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2021_022
2022_065_010.003,1/29/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2022_065
2022_016_019.001,6/23/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Düşük,1,1,2022_016
2021_004_011.002,3/15/2021,Tamamlandı,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,1,3,2021_004
2023_007_001.010,5/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,2,4,2023_007
2021_037_006.002,12/3/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2021_037
2021_007_008.001,4/24/2021,Tamamlandı,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,1,3,2021_007
2022_011_001.002,5/15/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,4,2022_011
2022_060_002.001,11/30/2022,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,2,2022_060
2023_007_002.001,5/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2023_007
2022_055_002.001,11/24/2022,Tamamlandı,Finansal Risk,Kritik,4,4,2022_055
2022_016_005.003,6/23/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,1,3,2022_016
2022_054_002.006,11/10/2022,Süreç Sahibi Yöneticisinin Onayında Bekliyor,Finansal Risk,Orta,2,2,2022_054
2021_033_008.001,8/31/2021,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2021_033
2022_053_004.002,12/27/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,4,2022_053
2022_055_019.001,11/28/2022,Tamamlandı,Finansal Risk,Orta,3,2,2022_055
2022_020_002.001,7/18/2022,Süreç Sahibine Atanan Bulgu,Finansal Risk,Orta,2,2,2022_020
2023_022_037.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Orta,1,4,2023_022
2023_005_001.001,5/19/2023,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Dışsal Risk",Kritik,4,4,2023_005
